Account_No,Withdrawal_amount,Deposit_amount,Balance_amount,Value_date,Data,transaction_details
40906174,10946,0,35953,2016-01-01,2016-01-01,Entertainment
40906174,0,908145,944098,2016-01-01,2016-01-01,
40906174,17385,0,-926713,2016-01-01,2016-01-01,Entertainment
40906174,16758,0,-943471,2016-01-02,2016-01-02,Entertainment
40906174,0,562835,-380636,2016-01-03,2016-01-03,
40906174,17708,0,-398344,2016-01-03,2016-01-03,Rent
40906174,0,479406,-81062,2016-01-03,2016-01-03,
40906174,15290,0,-96352,2016-01-04,2016-01-04,Rent
40906174,0,610569,-514217,2016-01-04,2016-01-04,
40906174,10897,0,-525114,2016-01-05,2016-01-05,Education
40906174,567469,0,-1092583,2016-01-05,2016-01-05,Education
40906174,15692,0,-1108275,2016-01-06,2016-01-06,Education
40906174,0,439015,-669260,2016-01-07,2016-01-07,
40906174,0,956436,-287176,2016-01-07,2016-01-07,
40906174,0,819629,-532453,2016-01-08,2016-01-08,
40906174,17909,0,-550362,2016-01-08,2016-01-08,Healthcare
40906174,15418,0,-565780,2016-01-08,2016-01-08,Groceries
40906174,0,546099,-19681,2016-01-09,2016-01-09,
40906174,0,742911,723230,2016-01-10,2016-01-10,
40906174,18307,0,-704923,2016-01-10,2016-01-10,Utilities
40906174,0,746664,41741,2016-01-11,2016-01-11,
40906174,10244,0,31497,2016-01-11,2016-01-11,Education
40906174,0,601161,632658,2016-01-11,2016-01-11,
40906174,0,444063,1076721,2016-01-12,2016-01-12,
40906174,736286,0,-340435,2016-01-12,2016-01-12,Groceries
40906174,0,813516,473081,2016-01-12,2016-01-12,
40906174,930791,0,-457710,2016-01-13,2016-01-13,Groceries
40906174,0,11212,-446498,2016-01-13,2016-01-13,
40906174,0,668849,-222351,2016-01-13,2016-01-13,
40906174,447233,0,-669584,2016-01-14,2016-01-14,Transportation
40906174,0,624983,-1380809,2016-01-15,2016-01-15,
40906174,0,535366,-845443,2016-01-16,2016-01-16,
40906174,0,781414,-863341,2016-01-17,2016-01-17,
40906174,0,951024,-87683,2016-01-17,2016-01-17,
40906174,19047,0,-106730,2016-01-18,2016-01-18,Healthcare
40906174,0,13358,-93372,2016-01-18,2016-01-18,
40906174,15580,0,-108952,2016-01-18,2016-01-18,Clothes
40906174,11517,0,-120469,2016-01-19,2016-01-19,Groceries
40906174,13206,0,-133675,2016-01-19,2016-01-19,Healthcare
40906174,0,797153,-663478,2016-01-20,2016-01-20,
40906174,0,876913,213435,2016-01-20,2016-01-20,
40906174,14082,0,199353,2016-01-20,2016-01-20,Rent
40906174,0,538860,738213,2016-01-21,2016-01-21,
40906174,0,13877,752090,2016-01-21,2016-01-21,
40906174,10225,0,-741865,2016-01-22,2016-01-22,Rent
40906174,0,11087,-730778,2016-01-23,2016-01-23,
40906174,0,836591,-1388868,2016-01-23,2016-01-23,
40906174,415121,0,-1803989,2016-01-24,2016-01-24,Utilities
40906174,13213,0,-1817202,2016-01-25,2016-01-25,Entertainment
40906174,11164,0,-1828366,2016-01-25,2016-01-25,Education
40906174,0,829613,-998753,2016-01-25,2016-01-25,
40906174,691217,0,-1689970,2016-01-26,2016-01-26,Groceries
40906174,0,19734,-1670236,2016-01-27,2016-01-27,
40906174,912698,0,-2582934,2016-01-28,2016-01-28,Clothes
40906174,19270,0,-2602204,2016-01-28,2016-01-28,Entertainment
40906174,0,831911,-1770293,2016-01-29,2016-01-29,
40906174,0,19656,-1750637,2016-01-29,2016-01-29,
40906174,12261,0,-1762898,2016-01-29,2016-01-29,Healthcare
40906174,882140,0,-2645038,2016-01-30,2016-01-30,Transportation
40906174,0,615810,-2029228,2016-01-30,2016-01-30,
40906174,818254,0,-2847482,2016-01-31,2016-01-31,Transportation
40906174,0,968980,-1878502,2016-01-31,2016-01-31,
40906174,0,14780,-1863722,2016-02-01,2016-02-01,
40906174,12689,0,-1876411,2016-02-02,2016-02-02,Healthcare
40906174,902194,0,-2778605,2016-02-02,2016-02-02,Utilities
40906174,0,12041,-2766564,2016-02-03,2016-02-03,
40906174,684530,0,-3451094,2016-02-03,2016-02-03,Education
40906174,778208,0,-4229302,2016-02-03,2016-02-03,Entertainment
40906174,0,690061,-3539241,2016-02-04,2016-02-04,
40906174,989806,0,-4529047,2016-02-04,2016-02-04,Rent
40906174,0,586273,-3942774,2016-02-05,2016-02-05,
40906174,19952,0,-3962726,2016-02-06,2016-02-06,Transportation
40906174,0,10148,-3952578,2016-02-06,2016-02-06,
40906174,724060,0,-4676638,2016-02-07,2016-02-07,Clothes
40906174,595523,0,-5272161,2016-02-08,2016-02-08,Utilities
40906174,0,11657,-5260504,2016-02-09,2016-02-09,
40906174,0,11159,-5249345,2016-02-09,2016-02-09,
40906174,530302,0,-5779647,2016-02-10,2016-02-10,Entertainment
40906174,0,530250,-5249397,2016-02-10,2016-02-10,
40906174,0,10253,-5239144,2016-02-10,2016-02-10,
40906174,18000,0,-5257144,2016-02-11,2016-02-11,Education
40906174,598859,0,-5856003,2016-02-12,2016-02-12,Clothes
40906174,432094,0,-6288097,2016-02-12,2016-02-12,Healthcare
40906174,915993,0,-7204090,2016-02-12,2016-02-12,Entertainment
40906174,0,860709,-6343381,2016-02-13,2016-02-13,
40906174,10211,0,-6353592,2016-02-13,2016-02-13,Entertainment
40906174,0,10259,-6343333,2016-02-13,2016-02-13,
40906174,844759,0,-7188092,2016-02-14,2016-02-14,Rent
40906174,0,901995,-6286097,2016-02-14,2016-02-14,
40906174,0,951972,-5334125,2016-02-14,2016-02-14,
40906174,549201,0,-5883326,2016-02-15,2016-02-15,Entertainment
40906174,16006,0,-5899332,2016-02-16,2016-02-16,Transportation
40906174,821397,0,-6720729,2016-02-17,2016-02-17,Transportation
40906174,0,520296,-6200433,2016-02-17,2016-02-17,
40906174,0,448382,-5752051,2016-02-17,2016-02-17,
40906174,887591,0,-6639642,2016-02-18,2016-02-18,Rent
40906174,0,877765,-5761877,2016-02-18,2016-02-18,
40906174,0,774948,-4986929,2016-02-19,2016-02-19,
40906174,0,786021,-4200908,2016-02-19,2016-02-19,
40906174,541083,0,-4741991,2016-02-20,2016-02-20,Clothes
40906174,0,845438,-4730714,2016-02-20,2016-02-20,
40906174,646723,0,-5377437,2016-02-21,2016-02-21,Healthcare
40906174,0,462062,-4915375,2016-02-21,2016-02-21,
40906174,639933,0,-5555308,2016-02-22,2016-02-22,Transportation
40906174,911753,0,-6467061,2016-02-22,2016-02-22,Groceries
40906174,19114,0,-6486175,2016-02-22,2016-02-22,Education
40906174,481619,0,-6967794,2016-02-23,2016-02-23,Rent
40906174,16479,0,-6984273,2016-02-24,2016-02-24,Rent
40906174,0,12382,-6971891,2016-02-24,2016-02-24,
40906174,583214,0,-7555105,2016-02-24,2016-02-24,Utilities
40906174,0,14761,-7540344,2016-02-25,2016-02-25,
40906174,633595,0,-8173939,2016-02-25,2016-02-25,Rent
40906174,0,18364,-8155575,2016-02-25,2016-02-25,
40906174,18133,0,-8173708,2016-02-26,2016-02-26,Education
40906174,545745,0,-8719453,2016-02-26,2016-02-26,Groceries
40906174,530382,0,-9249835,2016-02-26,2016-02-26,Education
40906174,0,867606,-8382229,2016-02-27,2016-02-27,
40906174,0,529801,-7852428,2016-02-27,2016-02-27,
40906174,462190,0,-8314618,2016-02-28,2016-02-28,Healthcare
40906174,769324,0,-9083942,2016-02-28,2016-02-28,Groceries
40906174,0,533467,-8550475,2016-02-28,2016-02-28,
40906174,0,680755,-7869720,2016-02-29,2016-02-29,
40906174,0,936452,-6933268,2016-03-01,2016-03-01,
40906174,0,15190,-6918078,2016-03-02,2016-03-02,
40906174,0,701604,-6216474,2016-03-03,2016-03-03,
40906174,0,861079,-6668444,2016-03-03,2016-03-03,
40906174,939038,0,-7607482,2016-03-03,2016-03-03,Clothes
40906174,0,10103,-7597379,2016-03-04,2016-03-04,
40906174,14329,0,-7611708,2016-03-04,2016-03-04,Transportation
40906174,0,780532,-6831176,2016-03-05,2016-03-05,
40906174,0,656985,-6174191,2016-03-05,2016-03-05,
40906174,948962,0,-7123153,2016-03-05,2016-03-05,Groceries
40906174,0,974201,-6148952,2016-03-06,2016-03-06,
40906174,0,911740,-5237212,2016-03-06,2016-03-06,
40906174,506702,0,-5743914,2016-03-06,2016-03-06,Education
40906174,0,667107,-5076807,2016-03-07,2016-03-07,
40906174,423056,0,-5499863,2016-03-07,2016-03-07,Clothes
40906174,10982,0,-5510845,2016-03-08,2016-03-08,Education
40906174,493753,0,-6004598,2016-03-08,2016-03-08,Bill Sharing
40906174,12186,0,-6016784,2016-03-09,2016-03-09,Healthcare
40906174,820937,0,-6837721,2016-03-09,2016-03-09,Transportation
40906174,0,693849,-7740945,2016-03-09,2016-03-09,
40906174,0,571113,-7169832,2016-03-10,2016-03-10,
40906174,664554,0,-7834386,2016-03-10,2016-03-10,Education
40906174,694601,0,-8528987,2016-03-10,2016-03-10,Utilities
40906174,0,844652,-7684335,2016-03-11,2016-03-11,
40906174,0,15463,-7668872,2016-03-11,2016-03-11,
40906174,621996,0,-8290868,2016-03-12,2016-03-12,Groceries
40906174,12994,0,-8303862,2016-03-13,2016-03-13,Clothes
40906174,12978,0,-8316840,2016-03-14,2016-03-14,Clothes
40906174,0,13205,-8303635,2016-03-15,2016-03-15,
40906174,494252,0,-8797887,2016-03-16,2016-03-16,Clothes
40906174,0,431674,-8366213,2016-03-17,2016-03-17,
40906174,0,875084,-7491129,2016-03-18,2016-03-18,
40906174,0,832094,-6659035,2016-03-18,2016-03-18,
40906174,0,889864,-5769171,2016-03-18,2016-03-18,
40906174,0,14224,-5754947,2016-03-19,2016-03-19,
40906174,443779,0,-6198726,2016-03-19,2016-03-19,Utilities
